Sat Apr 03 2021 20:43:24 GMT-0400 (Eastern Daylight Time) - Run Time: 2080ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Age of person - age
Table: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 

Trip 2016
ROW : gta06_hhld
COLUMN : age

TABLE    : mode_prime (Transit excluding GO rail)

  gta06_hhld         age      total
        5183          39        143
        5183          75         28
        5186          17         78
        5186          24        217
        5186          28         90
        5186          33        214
        5186          46         33
        5186          54         57
        5187          19         17
        5187          23         74
        5187          26        315
        5187          27         83
        5187          38         20
        5187          41        114
        5187          52        106
        5187          57         98
        5187          60         71
        5187          62         71
        5187          63         71
        5187          66        168
        5187          69         47
        5187          82        108
        5188          23        128
        5188          62         99
        5188          76         21
        5191          19        156
        5191          81         26
        5192          22        189
        5192          23        189
        5192          26        152
        5192          27         67
        5192          29         67
        5192          32         33
        5192          34         67
        5192          43         89
        5192          45         53
        5192          46         53
        5192          54         80
        5192          58         64
        5192          63         46
        5192          70         51
        5192          84         55
        5194          15         86
        5194          45         23
        5194          53         61
        5194          77         20
        5194          81         20
        5195          18         68
        5195          26        116
        5195          28         28
        5195          49        118
        5195          52        109
        5195          56         68
        5196          19         38
        5196          20         45
        5196          21        180
        5196          24        162
        5196          31         47
        5196          32         33
        5196          34         94
        5196          60         52
        5196          66         19
        5198          15         26
        5198          20         64
        5198          29         34
        5199          15        149
        5199          17        252
        5199          21        268
        5199          28         50
        5199          36        114
        5199          50        105
        5199          51         23
        5199          79        190
        5200          35         75
        5200          39         62
        5200          52        130
        5200          53         42
        5200          55         23
        5200          56         51
        5200          67         67
        5200          69        168
        5200          71         67
        5200          73         57
        5200          74         66
        5200          79         83
        5201          13        265
        5201          15        265
        5201          43        132
        5202          32         59
        5202          36        123
        5203          24        148
        5203          27         45
        5203          39         48
        5203          40         72
        5203          42         29
        5203          50        158
        5203          51         53
        5203          58         45
        5203          59         24
        5203          68         62
        5204          20        111
        5204          23         90
        5204          42         34
        5204          60         90
        5205          21         56
        5205          46        116
        5205          54        162
        5205          55        177
        5206          22        123
        5206          53         87
        5206          61        182
        5207          51        112
        5208          15         88
        5208          16         21
        5208          17         84
        5208          19        109
        5208          35         57
        5208          36         36
        5208          37        149
        5208          40        212
        5208          41         48
        5208          43         40
        5208          53         50
        5208          57        121
        5208          62         91
        5208          65        131
        5208          70         87
        5208          75         59
        5212          14        125
        5212          20         64
        5212          22         32
        5212          41        125
        5223          39         17
        5226          77         26
        5231          53         39
        5232          27         16
        5236          18        100
        5236          41         66
        5237          21        120
        5238          21         63
        5238          23        100
        5238          58         13
        5239          15         19
        5239          76         29
        5240          55         35
        5240          81         26
        5241          14         57
        5241          15         57
        5241          16         57
        5241          17         72
        5241          19         29
        5241          20        112
        5241          21         81
        5241          28        177
        5241          30         60
        5241          31         72
        5241          34        118
        5241          41         15
        5241          42         57
        5241          43         66
        5241          46         36
        5241          47        107
        5241          48         36
        5241          50        141
        5241          56         67
        5241          60        134
        5241          62        164
        5241          66        118
        5241          68         34
        5241          73         52
        5241          77         61
        5242          20        269
        5244          29         43
        5244          42         50
        5245          21         88
        5246          18        232
        5246          25        232
        5247          98         18
        5248          52         17
        5252          84         53

TABLE    : mode_prime (Cycle)

  gta06_hhld         age      total
        5005          19         45
        5032          16        119
        5046          51         39
        5046          55         79
        5046          60         76
        5050          57         16
        5051          13        168
        5051          56         39
        5052          25         69
        5053          65         47
        5057          17        108
        5059          50         57
        5065          69         47
        5068          21         95
        5069          20        111
        5079          33        286
        5081          19         52
        5081          24         48
        5093          25        312
        5094          11         56
        5094          47         56
        5095          11         22
        5095          12        113
        5095          13         22
        5095          20         48
        5100          70         34
        5100          73         34
        5102          67         93
        5105          51         32
        5110          73         37
        5111          47         71
        5111          71         34
        5121          39        239
        5122          39         49
        5127          22        101
        5130          27        129
        5131          50         69
        5133          14         59
        5135          30         65
        5139          79         31
        5140          32         79
        5143          59         35
        5148          25         52
        5149          21        426
        5150          27         70
        5150          29        146
        5150          32         22
        5150          69         53
        5154          57         73
        5156          40         46
        5157          70         45
        5158          19         62
        5158          27         35
        5158          34         70
        5158          36         58
        5158          38        227
        5158          48        237
        5159          28         62
        5159          70         90
        5161          42        228
        5162          33         56
        5162          54         97
        5164          26        365
        5164          30         32
        5164          35         99
        5165          33         80
        5165          40        160
        5166          18         70
        5166          24         99
        5166          28        126
        5166          64         71
        5167          22        228
        5167          33         41
        5167          34         20
        5167          35         62
        5167          36         48
        5168          26        106
        5171          35         57
        5172          48        127
        5174          19         72
        5174          30         73
        5174          34        279
        5174          35         67
        5174          36         19
        5174          40         94
        5174          43         94
        5174          46         72
        5175          19        196
        5175          20        105
        5175          21         98
        5175          22        180
        5175          43         74
        5175          69         43
        5179          35         73
        5179          40         62
        5180          25         89
        5180          41         75
        5180          51         42
        5181          29         66
        5181          47         61
        5181          56         74
        5182          30         59
        5182          32         59
        5183          14        110
        5183          39         55
        5183          40        440
        5186          32         42
        5186          34         61
        5186          70        197
        5187          67         47
        5188          26        182
        5191          35        140
        5191          85         69
        5192          25         33
        5194          28        132
        5194          35        106
        5196          18         38
        5196          19         38
        5196          20         90
        5196          21        135
        5196          25         72
        5196          31         47
        5196          41         90
        5198          25         69
        5200          32         80
        5200          33         71
        5200          43         60
        5200          52         57
        5201          32         17
        5201          46        265
        5202          30         81
        5202          55        163
        5203          17         96
        5203          24         55
        5203          26         41
        5203          28         93
        5203          47         83
        5203          60         35
        5204          18         39
        5204          29         11
        5204          63         43
        5205          39         88
        5205          40         88
        5205          45         88
        5205          50        233
        5206          31         56
        5206          60         63
        5207          53         54
        5208          36         18
        5208          37         99
        5208          62         35
        5208          73         38
        5223          74         25
        5226          47        124
        5230          65         27
        5252          50         43

